"","cod_municipio_ibge","NO_MUNICIPIO_RESIDENCIA","UF","mean_grades_group_cities","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds","remuneracao_media","desvio_padrao"
"3428",3514502,"Duartina","SP",529.862992125984,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2704.09,5043.84
"3429",3514601,"Dumont","SP",518.446556886228,0,0,0,0,6,0,0,0,0,0,17,0,0,0,0,2704.09,5043.84
"3430",3514700,"Echaporã","SP",519.034745762712,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,2704.09,5043.84
"3431",3514809,"Eldorado","SP",488.515728476821,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,2704.09,5043.84
"3432",3514908,"Elias Fausto","SP",511.929761904762,0,0,0,0,0,0,0,0,0,2,26,0,1111,0,0,2704.09,5043.84
"3433",3514924,"Elisiário","SP",497.584210526316,0,0,0,0,0,0,0,111,0,0,6,0,0,0,0,2704.09,5043.84
"3434",3514957,"Embaúba","SP",538.2375,0,0,0,0,0,0,0,29,0,0,7,0,0,0,0,2704.09,5043.84
"3435",3515004,"Embu das Artes","SP",505.576125471972,0,0,0,0,0,0,0,0,0,37,220,0,14934,0,0,2704.09,5043.84
"3436",3515103,"Embu-Guaçu","SP",502.708435438266,0,374,0,0,0,0,0,0,0,7,89,0,1,0,0,2704.09,5043.84
"3437",3515129,"Emilianópolis","SP",481.848958333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3438",3515152,"Engenheiro Coelho","SP",523.738046116505,0,0,264,0,0,0,0,0,0,5,0,0,0,0,0,2704.09,5043.84
"3439",3515186,"Espírito Santo do Pinhal","SP",544.682750582751,0,0,0,0,0,0,0,3808,0,3,101,0,0,0,0,2704.09,5043.84
"3440",3515194,"Espírito Santo do Turvo","SP",525.133783783784,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,2704.09,5043.84
"3441",3515202,"Estrela d'Oeste","SP",530.60608974359,0,1,0,0,0,0,0,201,0,0,19,0,0,0,0,2704.09,5043.84
"3442",3515301,"Estrela do Norte","SP",483.54609375,254,127,0,0,0,0,0,52,0,0,10,0,0,0,0,2704.09,5043.84
"3443",3515350,"Euclides da Cunha Paulista","SP",482.380891719745,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2704.09,5043.84
"3444",3515400,"Fartura","SP",528.271126760563,0,820,0,0,0,0,0,0,0,0,38,0,0,0,0,2704.09,5043.84
"3445",3515509,"Fernandópolis","SP",530.722311827957,0,0,0,0,0,0,0,0,0,121,114,0,0,0,0,2704.09,5043.84
"3446",3515608,"Fernando Prestes","SP",526.330597014925,52,0,0,0,3,0,0,0,0,0,11,0,0,0,0,2704.09,5043.84
"3447",3515657,"Fernão","SP",526.022222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3448",3515707,"Ferraz de Vasconcelos","SP",504.521187017703,0,0,0,0,0,0,0,0,0,0,133,0,1,0,0,2704.09,5043.84
"3449",3515806,"Flora Rica","SP",461.517647058824,0,0,0,0,0,0,0,42,0,0,8,0,0,0,0,2704.09,5043.84
"3450",3515905,"Floreal","SP",517.358522727273,1,2,0,0,0,0,0,78,0,0,6,0,0,0,0,2704.09,5043.84
