cod_municipio_ibge,NO_MUNICIPIO_RESIDENCIA,UF,mean_grades_group_cities
1713957,Muricilândia,TO,449.7098404255319
1714203,Natividade,TO,459.1468220338983
1714302,Nazaré,TO,445.70373831775703
1714880,Nova Olinda,TO,460.1170634920635
1715002,Nova Rosalândia,TO,469.2851063829787
1715101,Novo Acordo,TO,451.2327160493827
1715150,Novo Alegre,TO,466.770625
1715259,Novo Jardim,TO,481.1098484848485
1715507,Oliveira de Fátima,TO,458.65999999999997
1715705,Palmeirante,TO,451.00657894736844
1715754,Palmeirópolis,TO,485.2792635658915
1716109,Paraíso do Tocantins,TO,495.0253852739726
1716208,Paranã,TO,449.3403846153846
1716307,Pau D'Arco,TO,467.9908653846154
1716505,Pedro Afonso,TO,465.35845864661655
1716604,Peixe,TO,463.06260869565216
1716653,Pequizeiro,TO,458.8524647887324
1716703,Colméia,TO,460.3262218045113
1717008,Pindorama do Tocantins,TO,463.0159574468085
1717206,Piraquê,TO,458.91824324324324
1717503,Pium,TO,460.8626865671642
1717800,Ponte Alta do Bom Jesus,TO,449.8827868852459
1717909,Ponte Alta do Tocantins,TO,452.9775773195876
1718006,Porto Alegre do Tocantins,TO,454.4472826086957
1718204,Porto Nacional,TO,483.6830495818399
1718303,Praia Norte,TO,457.48614457831326
1718402,Presidente Kennedy,TO,447.0308333333333
1718451,Pugmil,TO,474.2897435897436
1718501,Recursolândia,TO,430.85328947368424
1718550,Riachinho,TO,451.1010273972603
1718659,Rio da Conceição,TO,484.8611111111111
1718709,Rio dos Bois,TO,441.9653846153846
1718758,Rio Sono,TO,462.0484693877551
1718808,Sampaio,TO,466.19407894736844
1718840,Sandolândia,TO,459.2518867924528
1718865,Santa Fé do Araguaia,TO,462.62545045045044
1718881,Santa Maria do Tocantins,TO,446
1718899,Santa Rita do Tocantins,TO,478.71458333333334
1718907,Santa Rosa do Tocantins,TO,452.8036231884058
1719004,Santa Tereza do Tocantins,TO,444.50703125
1720002,Santa Terezinha do Tocantins,TO,453.992578125
1720101,São Bento do Tocantins,TO,462.84305555555557
1720150,São Félix do Tocantins,TO,456.5282051282051
1720200,São Miguel do Tocantins,TO,474.52907303370785
1720259,São Salvador do Tocantins,TO,446.844921875
1720309,São Sebastião do Tocantins,TO,473.2189393939394
1720499,São Valério,TO,448.2284246575342
1720655,Silvanópolis,TO,455.5085616438356
1720804,Sítio Novo do Tocantins,TO,475.9551724137931
1720853,Sucupira,TO,482.61203703703706
1720903,Taguatinga,TO,467.91402116402116
1720937,Taipas do Tocantins,TO,446.9190476190476
1720978,Talismã,TO,461.23490566037736
1721000,Palmas,TO,504.35636234386106
1721109,Tocantínia,TO,452.0752659574468
1721208,Tocantinópolis,TO,465.3506568144499
1721257,Tupirama,TO,453.8789772727273
1721307,Tupiratins,TO,456.0881578947368
1722081,Wanderlândia,TO,462.04280303030305
1722107,Xambioá,TO,467.7253947368421
2100055,Açailândia,MA,481.73486124876115
2100105,Afonso Cunha,MA,452.09722222222223
2100154,Água Doce do Maranhão,MA,457.10348484848487
2100204,Alcântara,MA,465.1481707317073
2100303,Aldeias Altas,MA,448.04083094555875
2100402,Altamira do Maranhão,MA,441.3746527777778
2100436,Alto Alegre do Maranhão,MA,459.6365441176471
2100477,Alto Alegre do Pindaré,MA,462.2341584158416
2100501,Alto Parnaíba,MA,447.2161231884058
2100550,Amapá do Maranhão,MA,459.9583333333333
2100600,Amarante do Maranhão,MA,468.31981939163495
2100709,Anajatuba,MA,459.4634963768116
2100808,Anapurus,MA,453.2572641509434
2100832,Apicum-Açu,MA,461.729274611399
2100873,Araguanã,MA,449.2108208955224
2100907,Araioses,MA,463.23010817307693
2100956,Arame,MA,453.47160664819944
2101004,Arari,MA,472.1840909090909
2101103,Axixá,MA,454.39591988130564
2101202,Bacabal,MA,480.6358527131783
2101251,Bacabeira,MA,459.12154471544716
2101301,Bacuri,MA,452.4821138211382
2101350,Bacurituba,MA,447.3760309278351
2101400,Balsas,MA,474.55352713178297
2101509,Barão de Grajaú,MA,463.2812590448625
2101608,Barra do Corda,MA,475.5421309696093
2101707,Barreirinhas,MA,471.8401129943503
2101731,Belágua,MA,437.3213068181818
2101772,Bela Vista do Maranhão,MA,464.4896853146853
2101806,Benedito Leite,MA,452.3656
2101905,Bequimão,MA,463.23
2101939,Bernardo do Mearim,MA,467.3135245901639
2101970,Boa Vista do Gurupi,MA,451.81299019607843
2102002,Bom Jardim,MA,463.95761952191236
2102036,Bom Jesus das Selvas,MA,460.31166007905136
2102077,Bom Lugar,MA,468.3108910891089
2102101,Brejo,MA,458.340329218107
2102150,Brejo de Areia,MA,447.0172077922078
2102200,Buriti,MA,477.4102722772277
2102309,Buriti Bravo,MA,454.8822307692308
2102325,Buriticupu,MA,461.3376811594203
2102358,Buritirana,MA,456.1549180327869
