"","cod_municipio_ibge","municipio","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds"
"5127",3205176,"Vila Valério",0,0,12,0,6,0,0,114,0,12,0,0,0,0,0
"5128",3300100,"Angra dos Reis",0,0,0,33,0,0,0,10560,0,0,11,0,0,0,0
"5129",3300159,"Aperibé",0,0,0,0,0,0,0,115,0,0,0,0,0,0,0
"5130",3300225,"Areal",756,0,6,0,0,0,0,910,0,2,0,0,0,0,0
"5131",3300258,"Arraial do Cabo",0,255,264,0,0,0,0,1907,0,211,0,0,0,0,0
"5132",3300308,"Barra do Piraí",0,0,0,0,0,0,0,6727,0,0,0,0,0,17,0
"5133",3300407,"Barra Mansa",0,0,0,80,0,0,0,0,0,0,0,0,2104,0,0
"5134",3300605,"Bom Jesus do Itabapoana",0,0,0,0,0,0,0,1442,0,9,0,0,0,1,0
"5135",3300803,"Cachoeiras de Macacu",0,191,0,0,0,0,0,626,0,13,2,0,0,1,0
"5136",3300902,"Cambuci",978,0,0,0,0,0,0,325,0,0,0,0,0,0,0
"5137",3300936,"Carapebus",0,0,749,0,0,0,0,178,0,0,0,0,0,0,0
"5138",3300951,"Comendador Levy Gasparian",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"5139",3301157,"Cardoso Moreira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5140",3301306,"Casimiro de Abreu",0,0,0,0,0,0,0,675,0,0,0,0,0,3,0
"5141",3301405,"Conceição de Macabu",0,0,4,0,0,0,0,348,0,0,0,0,0,1,0
"5142",3301504,"Cordeiro",0,0,0,0,10,0,0,244,0,0,0,0,0,0,0
"5143",3301603,"Duas Barras",0,0,0,0,0,0,0,29,0,0,1,0,0,0,0
"5144",3301850,"Guapimirim",0,0,0,0,0,0,0,1189,0,8,2,0,0,1,0
"5145",3301876,"Iguaba Grande",0,0,711,0,14,0,0,792,0,2,0,0,0,2,0
"5146",3302007,"Itaguaí",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"5147",3302056,"Italva",0,0,0,0,0,0,0,103,0,5,1,0,0,1,0
"5148",3302106,"Itaocara",0,0,0,0,0,0,0,697,0,1,1,0,0,0,0
"5149",3302205,"Itaperuna",0,0,0,0,0,0,0,2656,0,0,0,0,0,0,0
