"cod_mun","municipio","uf","pib","pib_p_capta"
1502004,"Cachoeira do Arari                                                                                                              ","PA ",193878599,8157.47
1502103,"Cametá                                                                                                                          ","PA ",1150930088,8346.73
1502152,"Canaã dos Carajás                                                                                                               ","PA ",10710595175,288812.06
1502202,"Capanema                                                                                                                        ","PA ",1107441415,16043.6
1502301,"Capitão Poço                                                                                                                    ","PA ",679265949,12508.81
1502400,"Castanhal                                Região Metropolitana de Belém                                                          ","PA ",4040634536,20123.38
1502509,"Chaves                                                                                                                          ","PA ",195353973,8236.88
1502608,"Colares                                                                                                                         ","PA ",85250127,7054.21
1502707,"Conceição do Araguaia                                                                                                           ","PA ",549078086,11471.63
1502756,"Concórdia do Pará                                                                                                               ","PA ",293445673,8807.42
1502764,"Cumaru do Norte                                                                                                                 ","PA ",287185062,21315.6
1502772,"Curionópolis                                                                                                                    ","PA ",944529884,52681.68
1502806,"Curralinho                                                                                                                      ","PA ",254632882,7391.8
1502855,"Curuá                                                                                                                           ","PA ",130093342,9038.65
1502905,"Curuçá                                                                                                                          ","PA ",290923724,7261.11
1502939,"Dom Eliseu                                                                                                                      ","PA ",629324352,10538.09
1502954,"Eldorado do Carajás                                                                                                             ","PA ",415872362,12301
1503002,"Faro                                                                                                                            ","PA ",58347588,8110.59
1503044,"Floresta do Araguaia                                                                                                            ","PA ",273289043,13459.86
1503077,"Garrafão do Norte                                                                                                               ","PA ",225172172,8638.54
1503093,"Goianésia do Pará                                                                                                               ","PA ",348125473,8601
1503101,"Gurupá                                                                                                                          ","PA ",271949984,8148.07
1503200,"Igarapé-Açu                                                                                                                     ","PA ",347115567,8944.66
1503309,"Igarapé-Miri                                                                                                                    ","PA ",521727774,8321.28
1503408,"Inhangapi                                                                                                                       ","PA ",120138619,10258.61
1503457,"Ipixuna do Pará                                                                                                                 ","PA ",578056460,9024.66
1503507,"Irituia                                                                                                                         ","PA ",221162041,6794.53
1503606,"Itaituba                                                                                                                        ","PA ",2046615558,20214.09
1503705,"Itupiranga                                                                                                                      ","PA ",581800988,10921.94
1503754,"Jacareacanga                                                                                                                    ","PA ",526085509,63853.08
1503804,"Jacundá                                                                                                                         ","PA ",489516598,8275.15
1503903,"Juruti                                                                                                                          ","PA ",1207210588,20834.45
1504000,"Limoeiro do Ajuru                                                                                                               ","PA ",424661105,14676.38
1504059,"Mãe do Rio                                                                                                                      ","PA ",292628169,9729.3
1504109,"Magalhães Barata                                                                                                                ","PA ",74303993,8692.56
1504208,"Marabá                                                                                                                          ","PA ",11417650049,40872.35
1504307,"Maracanã                                                                                                                        ","PA ",229127414,7774.15
1504406,"Marapanim                                                                                                                       ","PA ",213435707,7532.32
1504422,"Marituba                                 Região Metropolitana de Belém                                                          ","PA ",1932709770,14695.07
1504455,"Medicilândia                                                                                                                    ","PA ",655466351,20744.58
1504505,"Melgaço                                                                                                                         ","PA ",181090856,6548.45
1504604,"Mocajuba                                                                                                                        ","PA ",380344334,12215.58
1504703,"Moju                                                                                                                            ","PA ",818857933,9974.64
1504752,"Mojuí dos Campos                         Região Metropolitana de Santarém                                                       ","PA ",171488411,10662.05
1504802,"Monte Alegre                                                                                                                    ","PA ",624754945,10765.7
1504901,"Muaná                                                                                                                           ","PA ",259275924,6425.83
1504950,"Nova Esperança do Piriá                                                                                                         ","PA ",209132315,9787.17
1504976,"Nova Ipixuna                                                                                                                    ","PA ",158816016,9522.49
1505007,"Nova Timboteua                                                                                                                  ","PA ",116212540,7564.44
1505031,"Novo Progresso                                                                                                                  ","PA ",700090859,27175.33
1505064,"Novo Repartimento                                                                                                               ","PA ",833418934,10977.74
1505106,"Óbidos                                                                                                                          ","PA ",979069932,18778.79
1505205,"Oeiras do Pará                                                                                                                  ","PA ",363771087,11188.83
1505304,"Oriximiná                                                                                                                       ","PA ",2087920752,28564.09
1505403,"Ourém                                                                                                                           ","PA ",185856822,10416.82
1505437,"Ourilândia do Norte                                                                                                             ","PA ",635604237,19359.29
1505486,"Pacajá                                                                                                                          ","PA ",678531900,14223.2
1505494,"Palestina do Pará                                                                                                               ","PA ",72485641,9551.41
1505502,"Paragominas                                                                                                                     ","PA ",3136000923,27716.65
1505536,"Parauapebas                                                                                                                     ","PA ",23035846880,110604.1
1505551,"Pau D'Arco                                                                                                                      ","PA ",89237008,16275.22
1505601,"Peixe-Boi                                                                                                                       ","PA ",53925870,6676.47
