"municipios","idhm"
"São João Batista (SC)",0.74
"Estrela do Norte (SP)",0.74
"Ibirá (SP)",0.74
"Anta Gorda (RS)",0.74
"Alegrete (RS)",0.74
"Muzambinho (MG)",0.74
"Turvo (SC)",0.74
"Porto Nacional (TO)",0.74
"Delfinópolis (MG)",0.74
"Salvador do Sul (RS)",0.74
"Otacílio Costa (SC)",0.74
"Aramina (SP)",0.74
"Itanhandu (MG)",0.739
"Piracaia (SP)",0.739
"Manduri (SP)",0.739
"Santo Inácio (PR)",0.739
"Edéia (GO)",0.739
"Ubiratã (PR)",0.739
"Pederneiras (SP)",0.739
"Carlos Gomes (RS)",0.739
"São Leopoldo (RS)",0.739
"São José da Barra (MG)",0.739
"São Pedro da Serra (RS)",0.739
"Nova Granada (SP)",0.739
"Vista Alegre (RS)",0.739
"Serra (ES)",0.739
"Ituiutaba (MG)",0.739
"Santo Augusto (RS)",0.739
"Viradouro (SP)",0.739
"Bom Retiro do Sul (RS)",0.739
"São Gonçalo (RJ)",0.739
"Taquaruçu do Sul (RS)",0.739
"Santa Mercedes (SP)",0.739
"Catuípe (RS)",0.739
"Rolândia (PR)",0.739
"Guaiçara (SP)",0.739
"Biguaçu (SC)",0.739
"São Sebastião do Caí (RS)",0.739
"Pelotas (RS)",0.739
"Ibiaçá (RS)",0.739
"Pontal do Paraná (PR)",0.738
"Santa Terezinha de Itaipu (PR)",0.738
"Nova Aliança (SP)",0.738
"Cabreúva (SP)",0.738
"Barra Velha (SC)",0.738
"Gaurama (RS)",0.738
"Lagoa Vermelha (RS)",0.738
"Porecatu (PR)",0.738
"Campina das Missões (RS)",0.738
"Humaitá (RS)",0.738
"Rio Negrinho (SC)",0.738
"Ilhota (SC)",0.738
"Onda Verde (SP)",0.738
"Corbélia (PR)",0.738
"Santo Cristo (RS)",0.738
"Santa Ernestina (SP)",0.738
"São João do Itaperiú (SC)",0.738
"Valença (RJ)",0.738
"Quatá (SP)",0.738
"Ipumirim (SC)",0.738
"Meleiro (SC)",0.738
"Itaipulândia (PR)",0.738
"Mirassolândia (SP)",0.738
"Ferraz de Vasconcelos (SP)",0.738
