"municipios","idhm"
"Palmeira dos Índios (AL)",0.638
"São João Evangelista (MG)",0.638
"Umburatiba (MG)",0.638
"Rio Maria (PA)",0.638
"Bernardo Sayão (TO)",0.638
"Sabinópolis (MG)",0.638
"São Francisco (MG)",0.638
"Ministro Andreazza (RO)",0.638
"Caraúbas (RN)",0.638
"Goianinha (RN)",0.638
"Simão Pereira (MG)",0.638
"Beberibe (CE)",0.638
"Wanderlândia (TO)",0.638
"Alto Paraguai (MT)",0.638
"Jaíba (MG)",0.638
"São Domingos das Dores (MG)",0.638
"Carbonita (MG)",0.638
"Corumbataí do Sul (PR)",0.638
"Ibirapuitã (RS)",0.638
"Bandeirantes do Tocantins (TO)",0.638
"Palhano (CE)",0.638
"Moeda (MG)",0.638
"Nossa Senhora do Livramento (MT)",0.638
"São Jerônimo da Serra (PR)",0.637
"Santa Terezinha do Tocantins (TO)",0.637
"Joaquim Felício (MG)",0.637
"Santo Amaro das Brotas (SE)",0.637
"Guaramiranga (CE)",0.637
"Pedro Teixeira (MG)",0.637
"Caculé (BA)",0.637
"Irupi (ES)",0.637
"Guarani de Goiás (GO)",0.637
"Apuí (AM)",0.637
"Capão do Leão (RS)",0.637
"Paula Cândido (MG)",0.637
"Bonfim (MG)",0.637
"Oratórios (MG)",0.637
"Valente (BA)",0.637
"Itanhém (BA)",0.637
"Itaperuçu (PR)",0.637
"Capão Bonito do Sul (RS)",0.637
"Pinheiro (MA)",0.637
"Paracuru (CE)",0.637
"Santa Bárbara do Tugúrio (MG)",0.637
"Sardoá (MG)",0.636
"Felipe Guerra (RN)",0.636
"São José do Cerrito (SC)",0.636
"Olaria (MG)",0.636
"Uiraúna (PB)",0.636
"Pindoretama (CE)",0.636
"Nova Lacerda (MT)",0.636
"Curionópolis (PA)",0.636
"Retirolândia (BA)",0.636
"Dores de Guanhães (MG)",0.636
"Ibotirama (BA)",0.636
"Orós (CE)",0.636
"Espigão Alto do Iguaçu (PR)",0.636
"Almas (TO)",0.636
"Tijucas do Sul (PR)",0.636
"Candói (PR)",0.635
"Tibau (RN)",0.635
"Oliveira Fortes (MG)",0.635
"Itueta (MG)",0.635
"Pacoti (CE)",0.635
"Cantagalo (PR)",0.635
"Piripiri (PI)",0.635
"São José do Egito (PE)",0.635
"Terra Santa (PA)",0.635
"Seabra (BA)",0.635
"Chapada Gaúcha (MG)",0.635
"Martins Soares (MG)",0.635
"Santa Cruz (RN)",0.635
"Surubim (PE)",0.635
"Tuparetama (PE)",0.634
"Conceição do Mato Dentro (MG)",0.634
"Vila Propício (GO)",0.634
"Santa Maria do Tocantins (TO)",0.634
"Gramado Xavier (RS)",0.634
"Santa Rita do Novo Destino (GO)",0.634
"Nova Roma (GO)",0.634
"Paraipaba (CE)",0.634
"Lagoa dos Patos (MG)",0.634
"Conceição da Feira (BA)",0.634
"Carolina (MA)",0.634
"Porto Firme (MG)",0.634
"Vargem Grande do Rio Pardo (MG)",0.634
"São João da Lagoa (MG)",0.634
"Serrinha (BA)",0.634
"Itambé do Mato Dentro (MG)",0.634
"Oeiras (PI)",0.634
"Pombal (PB)",0.634
"Mundo Novo (GO)",0.634
"Itagimirim (BA)",0.634
"Gravatá (PE)",0.634
"Novo Horizonte do Oeste (RO)",0.634
"Taguatinga (TO)",0.634
"Caranaíba (MG)",0.634
"Itambacuri (MG)",0.634
"Entre Folhas (MG)",0.634
"Tauá (CE)",0.633
"Bom Jesus da Lapa (BA)",0.633
"Itapissuma (PE)",0.633
"Groaíras (CE)",0.633
"Urucânia (MG)",0.633
"Minas Novas (MG)",0.633
"Santana da Boa Vista (RS)",0.633
"Farias Brito (CE)",0.633
"Alto Parnaíba (MA)",0.633
"Tarumirim (MG)",0.633
"Serranópolis de Minas (MG)",0.633
"Santo Antônio do Grama (MG)",0.633
"Aral Moreira (MS)",0.633
"Caiana (MG)",0.633
"Pindaré-Mirim (MA)",0.633
"Gandu (BA)",0.632
"Miranda (MS)",0.632
"Cruz (CE)",0.632
"Dom Macedo Costa (BA)",0.632
"Presidente Bernardes (MG)",0.632
"Mato Rico (PR)",0.632
"Simonésia (MG)",0.632
"Divino de São Lourenço (ES)",0.632
"Bocaina (PI)",0.632
"Veredinha (MG)",0.632
"Rodelas (BA)",0.632
"Riachinho (MG)",0.632
"Córrego Novo (MG)",0.632
"Silves (AM)",0.632
"Escada (PE)",0.632
"José Gonçalves de Minas (MG)",0.632
"Santo Antônio do Tauá (PA)",0.632
"Independência (CE)",0.632
"São Sebastião do Rio Preto (MG)",0.632
"Rosário (MA)",0.632
"Lajedão (BA)",0.632
"Jari (RS)",0.631
"Desterro do Melo (MG)",0.631
"Sobrália (MG)",0.631
"Sobradinho (BA)",0.631
"Pendências (RN)",0.631
"Rosário do Catete (SE)",0.631
"Senhora de Oliveira (MG)",0.631
"Vargem Alegre (MG)",0.631
"Nova Olinda (TO)",0.631
"Sinimbu (RS)",0.631
"Redentora (RS)",0.631
"Campinaçu (GO)",0.631
"Marianópolis do Tocantins (TO)",0.631
"Cantagalo (MG)",0.631
"Matipó (MG)",0.631
"Araguatins (TO)",0.631
"Uruçuí (PI)",0.631
"Ichu (BA)",0.631
"Itinga do Maranhão (MA)",0.63
"Bonópolis (GO)",0.63
"Nova Módica (MG)",0.63
"Penedo (AL)",0.63
"Santa Rita de Ibitipoca (MG)",0.63
"Ipiranga do Piauí (PI)",0.63
"Acaiaca (MG)",0.63
"São Geraldo do Baixio (MG)",0.63
"Campos Sales (CE)",0.63
"Barra do Mendes (BA)",0.63
"Angical do Piauí (PI)",0.63
"Ramilândia (PR)",0.63
"Jangada (MT)",0.63
"Campina do Simão (PR)",0.63
"Bacabeira (MA)",0.629
"Várzea Alegre (CE)",0.629
"Nova Cruz (RN)",0.629
"Encanto (RN)",0.629
"Turuçu (RS)",0.629
"Vargem (SC)",0.629
"Itaobim (MG)",0.629
"Piau (MG)",0.629
"Pentecoste (CE)",0.629
"Dores do Turvo (MG)",0.629
"Bodó (RN)",0.629
"Reduto (MG)",0.629
"Rio Bonito do Iguaçu (PR)",0.629
"São João do Triunfo (PR)",0.629
"Cândido de Abreu (PR)",0.629
"Governador Edison Lobão (MA)",0.629
"Belo Jardim (PE)",0.629
"Lassance (MG)",0.629
"São Francisco do Oeste (RN)",0.628
"Jordânia (MG)",0.628
"Abaetetuba (PA)",0.628
"Serra Branca (PB)",0.628
"Berilo (MG)",0.628
"Acorizal (MT)",0.628
"Colônia do Gurguéia (PI)",0.628
"Riachão do Jacuípe (BA)",0.628
"Palmeiras do Tocantins (TO)",0.628
"Abaiara (CE)",0.628
"Santana de Pirapama (MG)",0.628
"Milagres (CE)",0.628
"Itacambira (MG)",0.628
"Cutias (AP)",0.628
"Monteiro (PB)",0.628
"Buriti do Tocantins (TO)",0.627
"Santa Rita (PB)",0.627
"Cairu (BA)",0.627
"Baixio (CE)",0.627
"Pequizeiro (TO)",0.627
"Cuparaque (MG)",0.627
"Itamaraju (BA)",0.627
"Axixá do Tocantins (TO)",0.627
"Sumé (PB)",0.627
"Riacho dos Machados (MG)",0.627
"Cedro (CE)",0.627
"Itaverava (MG)",0.627
"Lagoa Seca (PB)",0.627
"Lagoa da Confusão (TO)",0.627
"Espinosa (MG)",0.627
"Simplício Mendes (PI)",0.627
"Peçanha (MG)",0.627
"Pedra Azul (MG)",0.627
"Santa Bárbara do Pará (PA)",0.627
"Santa Teresinha (PB)",0.627
"Lambari D'Oeste (MT)",0.627
"Coronel Murta (MG)",0.627
"Cachoeirinha (TO)",0.627
"Bugre (MG)",0.627
"São Gonçalo dos Campos (BA)",0.627
"Vale do Paraíso (RO)",0.627
"Pavão (MG)",0.627
"Olhos-D'Água (MG)",0.626
"Pocrane (MG)",0.626
"Santo Estêvão (BA)",0.626
"Pedra Branca do Amapari (AP)",0.626
"Joanésia (MG)",0.626
"Mambaí (GO)",0.626
"Guamaré (RN)",0.626
"Floresta (PE)",0.626
"Milhã (CE)",0.626
"Coroaci (MG)",0.626
"Coruripe (AL)",0.626
"São Sebastião do Oeste (MG)",0.626
"Bonfim (RR)",0.626
"Arari (MA)",0.626
"Redenção (CE)",0.626
"Piedade dos Gerais (MG)",0.626
"Muribeca (SE)",0.626
"Tumiritinga (MG)",0.626
"Várzea (RN)",0.626
"Serra da Raiz (PB)",0.626
"Senhora dos Remédios (MG)",0.626
"Itaitinga (CE)",0.626
"Mendes Pimentel (MG)",0.626
"Campo Redondo (RN)",0.626
"Raposa (MA)",0.626
"Santa Leopoldina (ES)",0.626
"Solonópole (CE)",0.625
"Gurjão (PB)",0.625
"Medeiros Neto (BA)",0.625
"Alto Paraíso (RO)",0.625
"Brás Pires (MG)",0.625
"Amargosa (BA)",0.625
"Ibicaraí (BA)",0.625
"Guimarães (MA)",0.625
"Mâncio Lima (AC)",0.625
"Caetité (BA)",0.625
"Lajes Pintadas (RN)",0.625
"Paulistas (MG)",0.625
"Santa Cruz do Escalvado (MG)",0.625
"Potiraguá (BA)",0.625
"Nova Olinda (CE)",0.625
"São João do Pacuí (MG)",0.625
"Angical (BA)",0.625
"Lagarto (SE)",0.625
"Francisco Dumont (MG)",0.625
"Ervália (MG)",0.625
"Jaguaruana (CE)",0.624
"Jenipapo de Minas (MG)",0.624
"Caxias (MA)",0.624
"Icaraí de Minas (MG)",0.624
"Lajes (RN)",0.624
"Rio Pardo de Minas (MG)",0.624
"Fortim (CE)",0.624
"Pedra do Anta (MG)",0.624
"Buritizeiro (MG)",0.624
"Itajá (RN)",0.624
"Amaral Ferrador (RS)",0.624
"Poté (MG)",0.624
"Caparaó (MG)",0.624
"Inhuma (PI)",0.624
"Medina (MG)",0.624
"Ponte Alta do Tocantins (TO)",0.624
"Caracaraí (RR)",0.624
"Capitão Andrade (MG)",0.624
"Vale do Sol (RS)",0.624
"Braúnas (MG)",0.624
"Almino Afonso (RN)",0.624
"Barra Longa (MG)",0.624
"Angicos (RN)",0.624
"Ourilândia do Norte (PA)",0.624
"Bom Jesus do Galho (MG)",0.623
"Miguel Leão (PI)",0.623
"Divinolândia de Minas (MG)",0.623
"Guaraciaba (MG)",0.623
"Zabelê (PB)",0.623
"Lençóis (BA)",0.623
"Bela Cruz (CE)",0.623
"São Miguel dos Campos (AL)",0.623
"Oriximiná (PA)",0.623
"Juti (MS)",0.623
"Valença (BA)",0.623
"São Miguel do Tocantins (TO)",0.623
"Itapagé (CE)",0.623
"Petrolândia (PE)",0.623
"Cabrobó (PE)",0.623
"Tenente Laurentino Cruz (RN)",0.623
"Equador (RN)",0.623
"São José do Norte (RS)",0.623
"Esperança (PB)",0.623
"Elísio Medrado (BA)",0.623
"Caturité (PB)",0.623
"Cedro de São João (SE)",0.623
"Ferreiros (PE)",0.622
"Mirinzal (MA)",0.622
"Palmares (PE)",0.622
"Dom Pedro (MA)",0.622
"Imbaú (PR)",0.622
"Ibitirama (ES)",0.622
"Quixeré (CE)",0.622
"São Paulo do Potengi (RN)",0.622
"Porteiras (CE)",0.622
"Francisco Badaró (MG)",0.622
"Monte do Carmo (TO)",0.622
"Aratuba (CE)",0.622
"Missão Velha (CE)",0.622
"Santarém (PB)",0.622
"Abel Figueiredo (PA)",0.622
"Passa Sete (RS)",0.622
"Milagres (BA)",0.622
"Dom Joaquim (MG)",0.622
"Nísia Floresta (RN)",0.622
"Plácido de Castro (AC)",0.622
"Jacundá (PA)",0.622
"Quixabá (PB)",0.622
"São João do Cariri (PB)",0.622
"Calmon (SC)",0.622
"São Pedro do Suaçuí (MG)",0.622
"Palmácia (CE)",0.622
"Martins (RN)",0.622
"Maragogipe (BA)",0.621
"Campo Azul (MG)",0.621
"Catuti (MG)",0.621
"Piancó (PB)",0.621
"Japaratuba (SE)",0.621
"Cônego Marinho (MG)",0.621
"Jaguaribe (CE)",0.621
"Sertãozinho (PB)",0.621
"Doutor Severiano (RN)",0.621
"Licínio de Almeida (BA)",0.621
"Pacujá (CE)",0.621
"Cerro Negro (SC)",0.621
"Filadélfia (TO)",0.621
"Capim Grosso (BA)",0.621
"Piraquê (TO)",0.621
"Santana do Manhuaçu (MG)",0.621
"Tamarana (PR)",0.621
"Goianorte (TO)",0.621
"Prado (BA)",0.621
"Augusto Severo (RN)",0.621
"Portalegre (RN)",0.621
"Campo do Brito (SE)",0.621
"Virgolândia (MG)",0.62
"Antônio Almeida (PI)",0.62
"Senador Modestino Gonçalves (MG)",0.62
"Camocim (CE)",0.62
"Bias Fortes (MG)",0.62
"Itaberaba (BA)",0.62
"São Félix de Minas (MG)",0.62
"Alto Rio Doce (MG)",0.62
"Monte Santo do Tocantins (TO)",0.62
"Santo Antônio (RN)",0.62
"Itaquiraí (MS)",0.62
"Jacinto (MG)",0.62
"Chapada da Natividade (TO)",0.62
"Ipueiras (TO)",0.62
"Passagem (PB)",0.62
"São Luís do Curu (CE)",0.62
"Charrua (RS)",0.62
"Irará (BA)",0.62
"Urucará (AM)",0.62
"Urucuia (MG)",0.619
"Cantá (RR)",0.619
"Benjamin Constant do Sul (RS)",0.619
"Pingo-D'Água (MG)",0.619
"Chapada de Areia (TO)",0.619
"Ipojuca (PE)",0.619
"Rorainópolis (RR)",0.619
"Brejo dos Santos (PB)",0.619
"Vitória do Jari (AP)",0.619
"Fronteiras (PI)",0.619
"Santo Antônio dos Milagres (PI)",0.619
"Matinha (MA)",0.619
"Baturité (CE)",0.619
"Senador Pompeu (CE)",0.619
"Jaguaribara (CE)",0.618
"Toritama (PE)",0.618
"Meruoca (CE)",0.618
"Mamonas (MG)",0.618
"Viana (MA)",0.618
"Catarina (CE)",0.618
"Formosa do Rio Preto (BA)",0.618
"Arneiroz (CE)",0.618
"Ipu (CE)",0.618
"Reserva (PR)",0.618
"Patu (RN)",0.618
"Conde (PB)",0.618
"Mortugaba (BA)",0.618
"Malacacheta (MG)",0.618
"Apuiarés (CE)",0.618
"Umarizal (RN)",0.618
"José de Freitas (PI)",0.618
"Timbaúba (PE)",0.618
"Santa Cruz (PB)",0.618
"Demerval Lobão (PI)",0.618
"Maruim (SE)",0.618
"Guaiúba (CE)",0.617
"São José do Sabugi (PB)",0.617
"Puxinanã (PB)",0.617
"José Raydan (MG)",0.617
"Parecis (RO)",0.617
"Uibaí (BA)",0.617
"Vigia (PA)",0.617
"Major Sales (RN)",0.617
"Muniz Ferreira (BA)",0.617
"Saubara (BA)",0.617
"Salinas da Margarida (BA)",0.617
"Sítio D'Abadia (GO)",0.617
"Riachuelo (SE)",0.617
"Cajuri (MG)",0.617
"Junco do Seridó (PB)",0.617
"São Felipe (BA)",0.616
"São Gonçalo do Piauí (PI)",0.616
"Itaguatins (TO)",0.616
"Datas (MG)",0.616
"Uruçuca (BA)",0.616
"Soledade (PB)",0.616
"Caravelas (BA)",0.616
"Ceará-Mirim (RN)",0.616
"Tabatinga (AM)",0.616
"Água Nova (RN)",0.616
"Matias Cardoso (MG)",0.616
"Rio dos Bois (TO)",0.616
"Campanário (MG)",0.616
"Novorizonte (MG)",0.616
"Herveiras (RS)",0.616
"Fortaleza dos Nogueiras (MA)",0.616
"Buritis (RO)",0.616
"Chuvisca (RS)",0.616
"Icapuí (CE)",0.616
"Massapê (CE)",0.616
"Santa Fé do Araguaia (TO)",0.616
"Santa Quitéria (CE)",0.616
"Barreira (CE)",0.616
"Ibipeba (BA)",0.616
"São Mateus do Maranhão (MA)",0.616
"Entre Rios (BA)",0.615
"Aracoiaba (CE)",0.615
"São José do Campestre (RN)",0.615
"Santa Fé de Minas (MG)",0.615
"Gaúcha do Norte (MT)",0.615
"Ribamar Fiquene (MA)",0.615
"Capela (SE)",0.615
"Janduís (RN)",0.615
"Riacho de Santana (BA)",0.615
"Marilac (MG)",0.615
"Dom Eliseu (PA)",0.615
"Monte Alegre de Goiás (GO)",0.615
"Caputira (MG)",0.615
"Jequitinhonha (MG)",0.615
"Barra de São Miguel (AL)",0.615
"São João dos Patos (MA)",0.615
"Sebastião Laranjeiras (BA)",0.615
"Paramirim (BA)",0.615
"Itaporanga (PB)",0.615
"Porto Rico do Maranhão (MA)",0.615
"Cedro (PE)",0.615
"Monsenhor Gil (PI)",0.615
"Soure (PA)",0.615
"São João do Paraíso (MG)",0.615
"Jaquirana (RS)",0.614
"Pilões (RN)",0.614
"Igarapé Grande (MA)",0.614
"Sapeaçu (BA)",0.614
"Manacapuru (AM)",0.614
"Ubaporanga (MG)",0.614
"Cristópolis (BA)",0.614
"Itapuã do Oeste (RO)",0.614
"Igaporã (BA)",0.614
"Presidente Juscelino (MG)",0.614
"Serra do Mel (RN)",0.614
"Sete Quedas (MS)",0.614
"Ibirapuã (BA)",0.614
"Marquinho (PR)",0.614
"Altos (PI)",0.614
"Pracuúba (AP)",0.614
"Itaú (RN)",0.614
"Pedras de Maria da Cruz (MG)",0.614
"Luislândia (MG)",0.614
"Nova Russas (CE)",0.614
"Jardim (CE)",0.614
"Brasiléia (AC)",0.614
"Patis (MG)",0.614
"Ibiaí (MG)",0.614
"Santa Maria da Vitória (BA)",0.614
"Ouro Velho (PB)",0.614
"Presidente Dutra (BA)",0.614
"Sertânia (PE)",0.613
"Montalvânia (MG)",0.613
"Lajeado do Bugre (RS)",0.613
"Castro Alves (BA)",0.613
"Santa Rita de Minas (MG)",0.613
"Montividiu do Norte (GO)",0.613
"Santo Inácio do Piauí (PI)",0.613
"Jaborandi (BA)",0.613
"Iranduba (AM)",0.613
"Santa Maria do Salto (MG)",0.613
"Itabaiana (PB)",0.613
"Ribeirópolis (SE)",0.613
"Buerarema (BA)",0.613
"Brasil Novo (PA)",0.613
"Coaraci (BA)",0.613
"Santa Bárbara do Leste (MG)",0.613
"Rio Formoso (PE)",0.613
"Corumbiara (RO)",0.613
"Lavras da Mangabeira (CE)",0.613
"Cujubim (RO)",0.612
"Bertolínia (PI)",0.612
"Pintadas (BA)",0.612
"Canindé (CE)",0.612
"Poço de José de Moura (PB)",0.612
"Jaguaretama (CE)",0.612
"Marco (CE)",0.612
"Cururupu (MA)",0.612
"Santana do Cariri (CE)",0.612
"Delmiro Gouveia (AL)",0.612
"Boninal (BA)",0.612
"Taboleiro Grande (RN)",0.612
"Barro Duro (PI)",0.612
"Santa Cruz da Baixa Verde (PE)",0.612
"Mathias Lobato (MG)",0.612
"Vermelho Novo (MG)",0.612
"Itacajá (TO)",0.612
"Piedade de Caratinga (MG)",0.612
"Conceição do Coité (BA)",0.611
"Rio Preto da Eva (AM)",0.611
"Sumidouro (RJ)",0.611
"Livramento de Nossa Senhora (BA)",0.611
"Amparo de São Francisco (SE)",0.611
"Capistrano (CE)",0.611
"Cabaceiras (PB)",0.611
"São José de Mipibu (RN)",0.611
"São Benedito (CE)",0.611
"Varjota (CE)",0.611
"São Rafael (RN)",0.611
"Lajedo (PE)",0.611
"Ibiassucê (BA)",0.611
"São Francisco do Guaporé (RO)",0.611
"Colniza (MT)",0.611
"Costa Marques (RO)",0.611
"Ubaitaba (BA)",0.611
"Tunas do Paraná (PR)",0.611
"Miranda do Norte (MA)",0.61
"Virgem da Lapa (MG)",0.61
"São Félix do Piauí (PI)",0.61
"Pilar (AL)",0.61
"São José do Belmonte (PE)",0.61
"Madalena (CE)",0.61
"Barão do Triunfo (RS)",0.61
"Indaiabira (MG)",0.61
"Orocó (PE)",0.61
"Pesqueira (PE)",0.61
"Morada Nova (CE)",0.61
"São Raimundo das Mangabeiras (MA)",0.61
"Ruy Barbosa (BA)",0.61
"Santa Margarida (MG)",0.61
"Santa Cruz da Vitória (BA)",0.61
"Monsenhor Tabosa (CE)",0.61
"Barrocas (BA)",0.61
"Açucena (MG)",0.61
"Pastos Bons (MA)",0.61
"Divina Pastora (SE)",0.61
"Ererê (CE)",0.61
"Orobó (PE)",0.61
"Coreaú (CE)",0.61
"Igaracy (PB)",0.61
"Itarantim (BA)",0.61
"Macaúbas (BA)",0.609
"Rubim (MG)",0.609
"São Gabriel da Cachoeira (AM)",0.609
"Marapanim (PA)",0.609
"São João do Paraíso (MA)",0.609
"Baía Formosa (RN)",0.609
"Divisópolis (MG)",0.609
"Urupá (RO)",0.609
"Macaparana (PE)",0.609
"Ubaí (MG)",0.609
"Santa Terezinha (MT)",0.609
"Catunda (CE)",0.609
"Catende (PE)",0.609
"Amaralina (GO)",0.609
"Assunção (PB)",0.609
"Triunfo (PB)",0.609
"Deputado Irapuan Pinheiro (CE)",0.609
"Ortigueira (PR)",0.609
"Santa Helena (PB)",0.609
"Santa Maria do Oeste (PR)",0.609
"Jampruca (MG)",0.609
"Siriri (SE)",0.609
"Santa Rita (MA)",0.609
"Monte Alegre (RN)",0.609
"Nova Timboteua (PA)",0.609
"Lagoa do Carro (PE)",0.609
"Grajaú (MA)",0.609
"Salgado (SE)",0.609
"Marcelino Vieira (RN)",0.609
"Guaraciaba do Norte (CE)",0.609
"Diamante do Sul (PR)",0.608
"Marizópolis (PB)",0.608
"José da Penha (RN)",0.608
"Areial (PB)",0.608
"Picuí (PB)",0.608
"Luisburgo (MG)",0.608
"Prata (PB)",0.608
"Maxaranguape (RN)",0.608
"Queimadas (PB)",0.608
"São Francisco do Pará (PA)",0.608
"Rafael Fernandes (RN)",0.608
"Francisco Santos (PI)",0.608
"São João do Rio do Peixe (PB)",0.608
"Santana (BA)",0.608
"Alcobaça (BA)",0.608
"São Fernando (RN)",0.608
"Ingazeira (PE)",0.608
"Salto da Divisa (MG)",0.608
"Salvaterra (PA)",0.608
"São José da Coroa Grande (PE)",0.608
"Japonvar (MG)",0.608
"Luís Gomes (RN)",0.608
"Divisa Alegre (MG)",0.608
"Tangará (RN)",0.608
"Rio da Conceição (TO)",0.608
"Serra Dourada (BA)",0.608
"Ibiapina (CE)",0.608
"Mulungu (CE)",0.607
"Remígio (PB)",0.607
"Curimatá (PI)",0.607
"Santa Efigênia de Minas (MG)",0.607
"Boqueirão (PB)",0.607
"Barro Alto (BA)",0.607
"Ouriçangas (BA)",0.607
"Mucambo (CE)",0.607
"Maracás (BA)",0.607
"São Sebastião do Anta (MG)",0.607
"Cerro Corá (RN)",0.607
"Santa Rita do Itueto (MG)",0.607
"Mateiros (TO)",0.607
"Davinópolis (MA)",0.607
"Monte Negro (RO)",0.607
"Amparo (PB)",0.606
"Sampaio (TO)",0.606
"Tururu (CE)",0.606
"Francisco Dantas (RN)",0.606
"Arês (RN)",0.606
"São Miguel (RN)",0.606
"Ibicuitinga (CE)",0.606
"Bezerros (PE)",0.606
"Banabuiú (CE)",0.606
"Amontada (CE)",0.606
"Acarape (CE)",0.606
"Barra do Corda (MA)",0.606
"Santa Bárbara do Monte Verde (MG)",0.606
"Trizidela do Vale (MA)",0.606
"Conceição do Almeida (BA)",0.606
"Icó (CE)",0.606
"Mucugê (BA)",0.606
"Camutanga (PE)",0.606
"Princesa Isabel (PB)",0.606
"Felício dos Santos (MG)",0.606
"Itarema (CE)",0.606
"Ponto Chique (MG)",0.606
"Curral Velho (PB)",0.606
"São Bentinho (PB)",0.606
"Gonzaga (MG)",0.606
"Alexandria (RN)",0.606
"Ituberá (BA)",0.606
"Ipaumirim (CE)",0.606
"Trairi (CE)",0.606
"Passa E Fica (RN)",0.606
"Vicência (PE)",0.605
"Aurora (CE)",0.605
"Novo Oriente (CE)",0.605
"Cedral (MA)",0.605
"Divino (MG)",0.605
"Verdejante (PE)",0.605
"Irauçuba (CE)",0.605
"Couto Magalhães (TO)",0.605
"Paripueira (AL)",0.605
"Esperantina (PI)",0.605
"São Pedro da Água Branca (MA)",0.605
"Macarani (BA)",0.605
"Pindorama do Tocantins (TO)",0.605
"Uauá (BA)",0.605
"Humaitá (AM)",0.605
"São Bento do Tocantins (TO)",0.605
"Terra Alta (PA)",0.605
"Santa Rita de Cássia (BA)",0.605
"São Salvador do Tocantins (TO)",0.605
"Rio do Prado (MG)",0.605
"Mauriti (CE)",0.605
"Tabira (PE)",0.605
"Tracunhaém (PE)",0.605
"Teixeira (PB)",0.605
"Ruy Barbosa (RN)",0.605
"Rio de Contas (BA)",0.605
"Glória do Goitá (PE)",0.604
"Severiano Melo (RN)",0.604
"Poções (BA)",0.604
"Chapadinha (MA)",0.604
"Potiretama (CE)",0.604
"Telha (SE)",0.604
"Araguanã (TO)",0.604
"Grão Mogol (MG)",0.604
"Simão Dias (SE)",0.604
"Godofredo Viana (MA)",0.604
"Berizal (MG)",0.604
"Aliança (PE)",0.604
"Itapiúna (CE)",0.604
"Jaçanã (RN)",0.604
"Frecheirinha (CE)",0.604
"Chã de Alegria (PE)",0.604
"Boquim (SE)",0.604
"Boca da Mata (AL)",0.604
"Rodolfo Fernandes (RN)",0.604
"Acrelândia (AC)",0.604
"Ulianópolis (PA)",0.604
"Cumbe (SE)",0.604
"Chorozinho (CE)",0.604
"Bernardo do Mearim (MA)",0.604
"Sítio Novo do Tocantins (TO)",0.604
"Macururé (BA)",0.604
"Sanharó (PE)",0.603
"Ipanguaçu (RN)",0.603
"Paraú (RN)",0.603
"Boquira (BA)",0.603
"Sena Madureira (AC)",0.603
"Jericó (PB)",0.603
"Duas Estradas (PB)",0.603
"Jardim de Piranhas (RN)",0.603
"Pedra Branca (CE)",0.603
"Olivedos (PB)",0.603
"Pirambu (SE)",0.603
"Ponte Alta do Bom Jesus (TO)",0.603
"Correntina (BA)",0.603
"Abaíra (BA)",0.603
"Carrapateira (PB)",0.603
"Ferros (MG)",0.603
"Senador Sá (CE)",0.603
"Pindaí (BA)",0.603
"Franciscópolis (MG)",0.603
"Barra do Ouro (TO)",0.603
"São Bento (MA)",0.602
"Barro Preto (BA)",0.602
"Rio Espera (MG)",0.602
"Altaneira (CE)",0.602
"Gameleira (PE)",0.602
"Senador La Rocque (MA)",0.602
"Bom Jardim (PE)",0.602
"Santana do Araguaia (PA)",0.602
"Caaporã (PB)",0.602
"Colares (PA)",0.602
"Jussiape (BA)",0.602
"Condado (PE)",0.602
"Ribeirão (PE)",0.602
"Araripina (PE)",0.602
"Rondon do Pará (PA)",0.602
"Botumirim (MG)",0.602
"Ibititá (BA)",0.602
"Itabi (SE)",0.602
"Lago dos Rodrigues (MA)",0.602
"Lagoa de Itaenga (PE)",0.602
"Triunfo Potiguar (RN)",0.602
"Nazária (PI)",0.602
"Nova Floresta (PB)",0.601
"Acaraú (CE)",0.601
"Ribeira do Pombal (BA)",0.601
"Mutuípe (BA)",0.601
"Jucurutu (RN)",0.601
"Itapiratins (TO)",0.601
"Cotriguaçu (MT)",0.601
"Cândido Sales (BA)",0.601
"Reriutaba (CE)",0.601
"Jequeri (MG)",0.601
"Cipó (BA)",0.601
"Águas Vermelhas (MG)",0.601
"Santa Cruz do Piauí (PI)",0.601
"Dom Expedito Lopes (PI)",0.601
"Lagoa D'Anta (RN)",0.601
"Pereiro (CE)",0.601
"Ribeiro Gonçalves (PI)",0.601
"Alto Santo (CE)",0.601
"Bequimão (MA)",0.601
"Taipas do Tocantins (TO)",0.601
"Diogo de Vasconcelos (MG)",0.601
"São Pedro dos Crentes (MA)",0.6
"Chorrochó (BA)",0.6
"Itiruçu (BA)",0.6
"Assaré (CE)",0.6
"Santo André (PB)",0.6
"Cidelândia (MA)",0.6
"Coribe (BA)",0.6
"Bragança (PA)",0.6
"Nossa Senhora das Dores (SE)",0.6
"Itinga (MG)",0.6
"Feira Nova (PE)",0.6
"Wanderley (BA)",0.6
"Catas Altas da Noruega (MG)",0.6
"Alcântaras (CE)",0.6
"Inácio Martins (PR)",0.6
"Rio Sono (TO)",0.6
"Coronel Domingos Soares (PR)",0.6
"Barão de Melgaço (MT)",0.6
"Piquet Carneiro (CE)",0.6
"Moreilândia (PE)",0.6
"Piranga (MG)",0.6
"Paulistana (PI)",0.6
"São Geraldo da Piedade (MG)",0.6
"Cravolândia (BA)",0.599
"Tanque Novo (BA)",0.599
"Boa Ventura (PB)",0.599
"Barro (CE)",0.599
